artifact_type;deprecated_artifact;header_file;replacement_artifact;deprecated_in;removal_targeted_in
ITK function;MDC_create_or_update_ordered_element_groups;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_find_all_connections_on_port;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_find_all_model_elements_of_connection;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_find_connections_on_port;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_find_parent_groups;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_find_ports;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_find_ports_groups;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_get_all_cegs_in_partition;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_get_conditional_element_groups;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_get_conditional_element_groups_with_elements;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_get_identity;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_get_ordered_element_groups;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_insert_connection_element;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_insert_ordered_element_group_elements;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_query_ordered_element_group_by_partition;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_reverse_ordered_element_group_elements;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;MDC_split_ordered_element_group_elements;Mdc0mdc/mdc0mdc.h;No replacement;2606;2912
ITK function;ME_create_meapprpathnode_from_appearance;ps/absocc.h;No replacement;14. Feb;2712
ITK function;ME_create_meapprpathroot_from_apprroot;ps/absocc.h;No replacement;14. Feb;2712
ITK function;ME_get_meapprpathnode_from_appearance;ps/absocc.h;No replacement;14. Feb;2712
ITK function;ME_get_meapprpathroot_from_apprroot;ps/absocc.h;No replacement;14. Feb;2712
ITK function;ME_meapprpathnode_ask_apprs;ps/absocc.h;No replacement;2312;2712
ITK function;ME_meapprpathnode_ask_config_appr;ps/absocc.h;No replacement;2312;2712
ITK function;ME_meapprpathnode_remove_appr;ps/absocc.h;No replacement;2312;2712
ITK function;ME_update_meapprpathroot;ps/absocc.h;No replacement;14. Feb;2712
ITK function;NOTE_ask_extension;user_exits/user_exits.h;No replacement;11. Apr;2712
Macro;POM_check_private_uniqueness_switch;pom/pom/pom_tokens.h;POM_check_space_uniqueness_switch;11.02.2003;2712
API;POM_enquiry_set_expr_proprety;pom/enq/enq.h;POM_enquiry_set_expr_property;12. Mrz;2712
Macro;POM_object_mask_not_changed;pom/pom/pom_tokens.h;No replacement;11.02.2003;2712
Macro;POM_space_exclusive;pom/pom/pom_tokens.h;POM_space_change;11. Mrz;2712
Macro;POM_space_non_exclusive;pom/pom/pom_tokens.h;POM_space_markup;11. Mrz;2712
Macro;POM_space_private;pom/pom/pom_tokens.h;No replacement;11.02.2003;2712
ITK function;PREF_reinitialize;tc/preferences.h;No replacement;11. Jun;2712
Macro;PS_bvr_rev_occ_mismatch;ps/ps_errors.h;No replacement;14. Jan;2712
Macro;PTN0PARTITION_add_failed_closure_rule_evaluated_to_skip;ptn0partition/Ptn0Partition_errors.h;PTN0PARTITION_is_partitionable_evaluated_to_false;14. Mrz;2712
Macro;PTN0PARTITION_failed_to_create_membership;ptn0partition/Ptn0Partition_errors.h;PTN0PARTITION_cannot_create_member_owned_membership;2506;2712
ITK function;RDV_executeQPLFilter;rdv/rdv_qpl_api.h;No replacement;2312;2712
ITK function;RDV_getExecuteQPLFilterCount;rdv/rdv_qpl_api.h;No replacement;2312;2712
ITK function;RDV_getQPLBuilds;rdv/rdv_qpl_api.h;No replacement;2312;2712
