aw_release;category;area;topic;feature
2412;Plan;Bill of Materials;Smart Discovery;Designate properties for your Smart Discovery Indexing at the Awb0Element level
2412;Plan;Bill of Materials;Smart Discovery;Create more advanced filter criteria using OR/NOT groups in your Smart Discovery filtering (Not compatible with NX at this time)
2412;Plan;Bill of Materials;Smart Discovery;Filter your structure based on individual Reference Designators
2412;Plan;Bill of Materials;Structure Management;Manage lists of reference designators
2412;Plan;Bill of Materials;Structure Management;Save the results of a structure comparison​
2412;Plan;Bill of Materials;Structure Management;Create new revision rules directly in Active Workspace
2412;Plan;Bill of Materials;Structure Management;View effectivity dates using a standard time zone worldwide
2412;Plan;Configuration;Product Configuration;Assign effectivity to a family and update multiple families simultaneously
2412;Plan;Configuration;Product Configuration;Export features, variants and constraints to Excel
2412;Plan;Configuration;Product Configuration;Create and edit constraints using a text editor
2412;Plan;Configuration;Product Configuration;Roll up features like weight
2412;Plan;Configuration;Product Configuration;Open configurator objects in a folder to a sub location of the configurator context
2412;Plan;Configuration;Product Configuration;Use expand or collapse below command to view the models and features 
2412;Plan;Configuration;Product Configuration;Submit models, features and constraints to a workflow
2412;Plan;Configuration;Product Configuration;Show all features from current families
2412;Plan;Configuration;Product Configuration;Use properties to filter features used to define variant condition​
2412;Plan;Configuration;Product Configuration;Use variant condition on assembly to filter the components
2412;Plan;Configuration;Product Configuration;Filter Constraints based on features or even a feature combination
2412;Plan;Configuration;Product Configuration;Leverage sequence to resolve constraints
2412;Plan;Configuration;Product Configuration;Filter Variants based on features or even a feature combination
2412;Plan;Configuration;Product Configuration;Load variants using a saved query
2412;Plan;Configuration;Product Configuration;Navigate to the feature directly from the variant summary panel
2412;Plan;Configuration;Product Configuration;Understand the difference between variants and the changes in different revisions of a variant
2412;Plan;Configuration;Product Configuration;Compare multiple variants review the differences
2412;Plan;Configuration;Product Configuration;Compare different revisions of the same variant or different variants​​
2412;Plan;Configuration;Product Configuration;Browse a hierarchy of Configurator Contexts in Active Workspace in a table-based view
2412;Plan;Configuration;Product Configuration;Author Configurator Context for a module with detailed technical features which do not need to be allocated to the upper product context
2412;Plan;Process;Change Management;View and author in the BOM tab for a change notice
2412;Plan;Process;Change Management;Clearly understand affected items with the consolidated single table view in a change notice​
2412;Plan;Process;Change Management;Clearly view participants with the consolidated single table view in a change notice
2412;Plan;Process;Change Management;Experience best-in-class tables at the change notice
2412;Plan;Process;Change Management;Change tracking for reference designators
2412;Plan;Process;Change Management;Automatically merge BOM changes with a single click
2412;Plan;Process;Change Management;Workflow and handlers
2412;Plan;Process;Change Management;Auto Merge Handler - Notifications settings
2412;Plan;Process;Change Management;Preference - Notifications Mode and hyperlink ​
2412;Plan;Process;Change Management;Auto Merge Reports
2412;Plan;Process;Change Management;Create, coordinate remote design site changes from a central engineering site
2412;Plan;Process;Workflow;Edit the list of approvers until the task has been fully approved​
2412;Plan;Requirements;Requirements Management;Export Word includes configured parameters
2412;Plan;Requirements;Requirements Management;Simplified Requirement approval initiation
2412;Plan;Requirements;Requirements Management;Simplified Review “in-place” (Never leave the page)
2412;Plan;Requirements;Requirements Management;Observe Requirement Test Status directly on item
2412;Plan;Requirements;Requirements Management;Excel-based Multi-BOM import
2412;Plan;Requirements;Requirements Management;Excel Round Trip
2412;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Build system models with ​a modernized user experience in Systems Modeler with IBM Rhapsody
2412;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Configure System Models ensuring alignment with overall Product Configurations
2412;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Cameo Integration 2412 - Publish detailed system interface definitions in Teamcenter to support downstream domains
2412;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Request a filtered system definition from Teamcenter to import only relevant model elements
2412;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Cameo Integration 2412 - Initiate the desired process flow when publishing a system design in Teamcenter
2412;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Cameo Integration 2412 - Easily deploy Systems Modeler integrations
2412;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Support next generation MBSE with web authoring supporting SysML® v2 standard​
2506;Deliver;Analytics;Classification;Classification Manager in Active Workspace - Show only the relevant classification data with classification views
2506;Deliver;Analytics;Classification;Subscription support in Classification​ - Stay updated by subscribing to the changes in classification objects
2506;Deliver;Analytics;Classification;Perform advanced search by including classification properties
2506;Deliver;Analytics;Classification;Update classification properties of multiple objects
2506;Deliver;Analytics;Search and Analytics - Reporting and Analytics;Optimize your reports with improved ways to get and filter your data
2506;Deliver;Analytics;Search and Analytics - Search;Teamcenter Copilot - Unlock insights from data and perform AI assisted tasks 
2506;Deliver;Analytics;Search and Analytics - Search;Leverage AI to quickly summarize key content and engage in interactive Q&A with selected or open documents
2506;Deliver;Analytics;Search and Analytics - Search;AI Assisted Image Search
2506;Deliver;Analytics;Search and Analytics - Search;Effortlessly build powerful queries in Teamcenter​
2506;Deliver;Manufacturing;MBOM Management;Configurable Naming for Source and Target Structures in BOM Alignment
2506;Deliver;Manufacturing;MBOM Management;Column configuration based on the loaded object type
2506;Deliver;Manufacturing;MBOM Management;Support for multiple MCN types
2506;Deliver;Manufacturing;MBOM Management;Occurrence based substitute support in MBOM 
2506;Deliver;Manufacturing;MBOM Management;APIs for Automating Change Reconciliation Between Source and Target BOMs 
2506;Deliver;Manufacturing;MBOM Management;Usage MBOM Authoring
2506;Deliver;Manufacturing;MBOM Management;Change driven effectivity for Usage MBOM
2506;Deliver;Manufacturing;MBOM Management;Change Summary Panel (CSP)​
2506;Deliver;Manufacturing;MBOM Management;Partition scheme support
2506;Deliver;Manufacturing;MBOM Management;Net Unit effectivity comparison and ‘Save as and Replace’
2506;Deliver;Manufacturing;MBOM Management;Manufacturing Representation support​
2506;Deliver;Manufacturing;MBOM Management;Focused Mode support​
2506;Deliver;Manufacturing;MBOM Management;Clarify structure with Hierarchical Indication​
2506;Deliver;Manufacturing;MBOM Management;Display revision history for process
2506;Deliver;Manufacturing;MBOM Management;Expose net filtered variability for downstream applications​
2506;Deliver;Manufacturing;MBOM Management;Process Resources Scope – work on specific data based on Process Resources ​
2506;Deliver;Manufacturing;MBOM Management;Recursive DIPA
2506;Deliver;Manufacturing;MBOM Management;Compare and Propagate – BOE Master and Alternative​
2506;Deliver;Manufacturing;MBOM Management;MCN based compare between Product BOP and Plant BOP
2506;Deliver;Manufacturing;MBOM Management;Associate Control Plan with Bill of Process
2506;Deliver;Manufacturing;MBOM Management;Remove the auto revise message
2506;Deliver;Manufacturing;MBOM Management;Support Multiple Validation checks
2506;Deliver;Manufacturing;MBOM Management;Safety Analysis in Work Instructions
2506;Deliver;Manufacturing;MBOM Management;Manage Standard Text Libraries in Active Workspace​
2506;Deliver;Manufacturing;MBOM Management;Author Work Instructions for the Product BOP
2506;Deliver;Manufacturing;MBOM Management;EasyPlan integration with Rapid Author​
2506;Deliver;Manufacturing;MBOM Management;Line Balancing and Time Management​
2506;Deliver;Manufacturing;MBOM Management;Line Balancing - Wait time tab
2506;Deliver;Manufacturing;MBOM Management;Time Study – delete and last published date​
2506;Deliver;Manufacturing;MBOM Management;Re-sequence Activities
2506;Deliver;Manufacturing;MBOM Management;Body in White Planning
2506;Deliver;Manufacturing;MBOM Management;Study Management in Easy Plan​
2506;Deliver;Manufacturing;MBOM Management;Load process data to Process Simulate from Easy Plan
2506;Deliver;Manufacturing;MBOM Management;Enable Features assignment in Easy Plan​
2506;Deliver;Manufacturing;MBOM Management;Support Procedures in Master Recipe
2506;Deliver;Manufacturing;MBOM Management;Advanced Sequencing and Flows among operations and processes
2506;Deliver;Manufacturing;MBOM Management;Enhancement for Search and Clone for Add Commands​
2506;Deliver;Manufacturing;MBOM Management;Enhancement for Search, Clone, Use Exiting of Recipe​
2506;Deliver;Manufacturing;MBOM Management;Ability to add a single part as an EBOM for Part Planning​
2506;Deliver;Manufacturing;MBOM Management;Support creation of Site Recipe​
2506;Deliver;Manufacturing;MBOM Management;AI Powered Easy Plan​
2506;Deliver;Manufacturing;MBOM Management;Translate work instructions and view them in EWI per locale​
2506;Deliver;Manufacturing;MBOM Management;Control translation of proprietary information 
2506;Deliver;Quality;Audit & Assessment ;A more meaningful and intuitive terminology to describe the various steps and components of your audit activities will be provided by the important name change in the Audit process, making the overall process more clear and user-friendly for you.
2506;Deliver;Quality;Control & Inspection Planning;Integrate with the Bill of Process to ensure alignment between your design, manufacturing, and quality control processes​
2506;Deliver;Quality;Control & Inspection Planning;Bridge the gap between your quality management and design environments with an improved integration with NX​
2506;Deliver;Quality;Control & Inspection Planning;Synchronize your quality planning and automatic measurement processes with a DPV integration​
2506;Deliver;Quality;Control & Inspection Planning;Safeguard your sensitive information using data protection projects​
2506;Deliver;Quality;Control & Inspection Planning;Manage quality across the lifecycle more easily with through several usability enhancements​
2506;Deliver;Quality;Control & Inspection Planning;Incorporate manufacturing-related data into your quality management solution with an optimized PMI (Product Manufacturing Information) import
2506;Deliver;Quality;Cross app capability;Visualize and manage your quality-related activities, events, and deadlines across the Audit, QAM (Quality Action Management), QPM (Quality Project Management), and Checklists applications using a calendar view
2506;Deliver;Quality;FMEA;Fully integrate the FMEA with the product lifecycle with an enhanced generative FMEA structure​
2506;Deliver;Quality;FMEA;Adapt workflows to your specific needs with flexible FMEA sequencing
2506;Deliver;Quality;FMEA;View and understand action priorities to effectively mitigate risk using the Action Priority (AP) overview​
2506;Deliver;Quality;FMEA;Assess and prioritize risks identified during the FMEA with the new Risk Priority Number (RPN) overview
2506;Deliver;Quality;FMEA;Track and analyze FMEA changes over time to drive continuous improvement using the new difference overview
2506;Deliver;Quality;FMEA;Optimize the visualization, analysis, and management of identified risks with an improved risk matrix​
2506;Deliver;Quality;FMEA;Monitor and manage your quality project initiatives with improved visibility
2506;Deliver;Quality;FMEA;Ensure lessons learned are effectively incorporated for continuous improvement with improved focus on closed-loop quality​
