service_library;service;deprecated_operation;description;deprecated_in;removal_targeted_in
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::getParents;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::getPartFamilyTemplates;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::search;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::searchByInstanceId;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::searchForClasses;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2007_01::Classification::updateClassificationObjects;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2009_10::Classification::autoComputeAttributes;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2009_10::Classification::createOrUpdateKeyLOVs;the service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2009_10::Classification::getAttributesForClasses2;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2009_10::Classification::getKeyLOVs2;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2011_06::Classification::deleteChildrenInHierarchy;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2011_06::Classification::getLibraryHierarchy;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2011_12::Classification::getClassificationObjectInfo;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2015_03::Classification::getKeyLOVsForDependentAttributes;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2015_10::Classification::getClassDefinitions;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2016_03::Classification::convertValues;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2016_03::Classification::getChildrenExtended;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2016_03::Classification::searchClassesExtended;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaClassification;Classification;Teamcenter::Services::Classification::_2016_09::Classification::findValues;The service TcSoaClassification is deprecated. Supported APIs can be found in Cls0SoaClassificationCore  Ics1SoaIcsAw  and Cla0SoaClassificationCommon services.;2512;2912
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2006_03::Datamanagement::createDatasets;Use the createDatasets2 operation from the _2006_03 namespace.;8;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2006_03::Datamanagement::revise;Use the revise2 operation from the _2008_06 namespace.;8;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2006_03::Datamanagement::setDisplayProperties;Use the setProperties operation from the _2010_09 namespace.;11. Feb;2712
TcSoaCore;Session;Teamcenter::Services::Core::_2006_03::Session::getPreferences;Use the getPreferences operation from the _2007_01 namespace.;5;2712
TcSoaCore;Session;Teamcenter::Services::Core::_2006_03::Session::login;Use the login operation from the _2008_06 namespace.;10;2712
TcSoaCore;Session;Teamcenter::Services::Core::_2006_03::Session::loginSSO;Use the loginSSO operation from the _2008_06 namespace.;10;2712
TcSoaCore;Session;Teamcenter::Services::Core::_2006_03::Session::setPreferences;Use the setPreferences operation from the PreferenceManagement service in the Administration library.;10;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2007_01::Datamanagement::getItemFromId;Use the getItemAndRelatedObjects operation from the _2008_06 namespace.;8;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2007_01::Datamanagement::saveAsNewItem;Use the saveAsNewItem2 operation from the _2008_06 namespace.;8;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2007_01::Datamanagement::whereUsed;Use the whereUsed operation from the _2012_02 namespace.;09. Jan;2712
TcSoaCore;Session;Teamcenter::Services::Core::_2007_01::Session::getPreferences;Use the getPreferences operation from the PreferenceManagement service in the Administration library.;10;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2007_06::Datamanagement::validateItemIdsAndRevIds;Use the validateValues operation from the _2013_05 namespace.;10. Jan;2712
TcSoaCore;Lov;Teamcenter::Services::Core::_2007_06::Lov::getAttachedLOVs;Use the getAttachedPropDescs operation from the _2007_06 namespace.;07. Jan;2712
TcSoaCore;Propdescriptor;Teamcenter::Services::Core::_2007_06::Propdescriptor::getAttachedPropDescs;Use the getAttachedPropDescs2 operation from the _2011_06 namespace.;9;2712
TcSoaCore;Session;Teamcenter::Services::Core::_2008_03::Session::getFavorites;Use the getShortcuts operation.;08. Feb;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2010_04::Datamanagement::getLocalizedProperties;Use the getLocalizedProperties2 operation from the _2015_07 namespace.;11. Feb;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2010_04::Datamanagement::isPropertyLocalizable;Use the isLocalizable from the propertydescriptor.;9;2712
TcSoaCore;Session;Teamcenter::Services::Core::_2010_04::Session::getPreferences2;Use the getPreferences operation from the PreferenceManagement service in the Administration library.;10;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2011_06::Datamanagement::getTraceReport;Use the getTraceReport2 operation from the _2014_06 namespace.;10.01.2002;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2011_06::Datamanagement::saveAsObjects;Use the saveAsObjectsAndRelate operation from the _2014_10 namespace;11. Jan;2712
TcSoaCore;Operationdescriptor;Teamcenter::Services::Core::_2011_06::Operationdescriptor::getSaveAsDesc;Use the getDeepCopyData operation from the _2014_10 namespace.;11. Feb;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2012_02::Datamanagement::bulkCreateObjects;Use the createObjects operation from the _2008_06 namespace.;12. Feb;2712
TcSoaCore;Operationdescriptor;Teamcenter::Services::Core::_2012_02::Operationdescriptor::getDeepCopyData;Use the getDeepCopyData operation from the _2014_10 namespace.;11. Feb;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2012_09::Datamanagement::saveAsObjectAndRelate;Use the saveAsObjectsAndRelate operation from the _2014_10 namespace.;11. Jan;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2012_10::Datamanagement::getTraceReport;Use the getTraceReport2 operation from the _2014_06 namespace.;10.01.2002;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2015_07::Datamanagement::getLocalizedProperties2;As of Teamcenter 2506  use the getLocalizedProperties3 operation from the _2025_01 namespace.;2506;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2016_05::Datamanagement::generateContextSpecificIDs;Use the generateContextSpecificIDs2 operation from _2016_05 the namespace.;12. Apr;2712
TcSoaCore;Logicalobject;Teamcenter::Services::Core::_2017_11::Logicalobject::getLogicalObjects;Use the getLogicalObjects2 operation from the _2018_06 namespace.;11. Mai;2712
TcSoaCore;Datamanagement;Teamcenter::Services::Core::_2018_06::Datamanagement::createObjectsInBulkAndRelate;Use the createObjects operation from the _2008_06 namespace.;12. Feb;2712
TcSoaDocumentmanagement;Digitalsignature;Teamcenter::Services::Documentmanagement::_2010_04::Digitalsignature::digitalSigningSave;There is no replacement for this operation.;10. Jan;2712
TcSoaImportexport;Fileimportexport;Teamcenter::Services::Importexport::_2008_06::Fileimportexport::getExportTemplates;Use the getExportTemplates operation from the _2011_06 namespace.;9;2712
TcSoaIssuemanagement;Issuemanagement;Teamcenter::Services::Issuemanagement::_2009_06::Issuemanagement::reviewIssues;Use the castReviewDecisionOnIssues operation from the _2011_06 namespace.;9;2712
TcSoaManufacturing;Structuremanagement;Teamcenter::Services::Manufacturing::_2009_06::Structuremanagement::getStructureContextTopLines;Use the getStructureContextLines operation from the _2009_10 namespace.;08. Jan;2712
TcSoaManufacturing;Importexport;Teamcenter::Services::Manufacturing::_2010_09::Importexport::importManufaturingFeatures;Use the importManufaturingFeatures operation from the _2012_09 namespace.;10. Jan;2712
TcSoaManufacturing;Importexport;Teamcenter::Services::Manufacturing::_2013_05::Importexport::importManufacturingFeatures;Use the importManufacturingFeatures operation from the _2016_03 namespace.;10.01.2006;2712
TcSoaProductionmanagement;Engineeringdataquery;Teamcenter::Services::Productionmanagement::_2007_06::Engineeringdataquery::getEngineeringDataFromRoutine;Use the getEngineeringDataFromRoutine2 operation from the _2007_12 namespace.;07.01.2002;2712
TcSoaProductionmanagement;Engineeringdataquery;Teamcenter::Services::Productionmanagement::_2007_06::Engineeringdataquery::getFeatureAttributeDataOfCluster;Use the getFeatureAttributeDataOfCluster2 operation from the _2007_12 namespace.;07.01.2002;2712
TcSoaProductionmanagement;Engineeringdataquery;Teamcenter::Services::Productionmanagement::_2007_12::Engineeringdataquery::getEngineeringDataFromRoutine2;Use the getEngineeringDataFromRoutine3 operation from the _2008_03 namespace.;07.01.2003;2712
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2009_10::Schedulemanagement::updateTasks;Use the updateTasks operation from the _2012_02 namespace.;09. Jan;2712
TcSoaQuery;Savedquery;Teamcenter::Services::Query::_2006_03::Savedquery::executeSavedQuery;Use the executeSavedQueries operation from the _2007_06 namespace.;7;2712
TcSoaQuery;Savedquery;Teamcenter::Services::Query::_2007_01::Savedquery::deleteQueryCriterias;Use the deleteObjects operation.;08. Jan;2712
TcSoaQuery;Savedquery;Teamcenter::Services::Query::_2007_01::Savedquery::reorderSavedQueryCriterias;There is no replacement for this operation.;08. Jan;2712
TcSoaQuery;Savedquery;Teamcenter::Services::Query::_2007_01::Savedquery::retrieveQueryCriterias;Use the retrieveSearchCriteria operation from  the _2007_06 namespace.;07. Jan;2712
TcSoaQuery;Savedquery;Teamcenter::Services::Query::_2007_01::Savedquery::saveQueryCriterias;Use the saveSearchCriteria operation from the _2007_06 namespace.;07. Jan;2712
TcSoaQuery;Savedquery;Teamcenter::Services::Query::_2007_06::Savedquery::saveSearchCriteria;Use the createObjects on a SavedSearch business object.;08. Jan;2712
TcSoaQuery;Savedquery;Teamcenter::Services::Query::_2007_09::Savedquery::executeSavedQueries;Use the executeSavedQueries operation from the _2008_06 namespace.;8;2712
TcSoaQuery;Finder;Teamcenter::Services::Query::_2012_10::Finder::performSearch;Use the performSearch operation from the _2014_11 namespace.;09.01.2003;2712
TcSoaQuery;Savedquery;Teamcenter::Services::Query::_2018_11::Savedquery::executeBOQueriesWithContext;Use the  executeBOQueriesWithSortAndContext operation from the _2007_09 namespace.;12. Apr;2712
TcSoaReports;Crfreports;Teamcenter::Services::Reports::_2007_01::Crfreports::getReportDefinitions;Use the getReportDefinitions operation from the _2008_06 namespace.;8;2712
TcSoaStructuremanagement;Structuresearch;Teamcenter::Services::Structuremanagement::_2008_05::Structuresearch::startSearch;Use the startSearch opertaion from the _2010_04 namespace.;08. Feb;2712
TcSoaStructuremanagement;Structure;Teamcenter::Services::Structuremanagement::_2008_06::Structure::duplicate;Use the cloneStructure operation from the _2014_10 namespace.;13. Jan;2712
TcSoaStructuremanagement;Structure;Teamcenter::Services::Structuremanagement::_2008_06::Structure::expandOrUpdateDuplicateItems;Use the cloneStructureExpandOrUpdate operation from the _2014_10 namespace.;13. Jan;2712
TcSoaStructuremanagement;Structure;Teamcenter::Services::Structuremanagement::_2008_06::Structure::validateStructureItemIds;Use the validateStructureItemIds3 operation from the _2011_06 namespace.;13. Jan;2712
TcSoaStructuremanagement;Structureverification;Teamcenter::Services::Structuremanagement::_2008_12::Structureverification::accountabilityCheck;Use the accountabilityCheck operation from the _2010_09 namespace.;08. Mrz;2712
TcSoaStructuremanagement;Structuresearch;Teamcenter::Services::Structuremanagement::_2010_04::Structuresearch::startSearch;Use the startSearch operation from the _2010_05 namespace.;08. Mrz;2712
TcSoaStructuremanagement;Structure;Teamcenter::Services::Structuremanagement::_2010_09::Structure::duplicate2;Use the cloneStructure operation from the _2014_10 namespace.;13. Jan;2712
TcSoaStructuremanagement;Structure;Teamcenter::Services::Structuremanagement::_2010_09::Structure::expandOrUpdateDuplicateItems2;Use the cloneStructureExpandOrUpdate operation from the _2014_10 namespace.;13. Jan;2712
TcSoaStructuremanagement;Structure;Teamcenter::Services::Structuremanagement::_2010_09::Structure::validateStructureItemIds2;Use the validateStructureItemIds3 operation from the _2011_06 namespace.;13. Jan;2712
TcSoaStructuremanagement;Structure;Teamcenter::Services::Structuremanagement::_2011_06::Structure::duplicate3;Use the cloneStructure operation from the _2014_10 namespace.;13. Jan;2712
TcSoaStructuremanagement;Structure;Teamcenter::Services::Structuremanagement::_2011_06::Structure::expandOrUpdateDuplicateItems3;Use the cloneStructureExpandOrUpdate operation from the _2014_10 namespace.;13. Jan;2712
TcSoaStructuremanagement;Variantmanagement;Teamcenter::Services::Structuremanagement::_2013_05::Variantmanagement::applyBOMVariantRules;Use the applyBOMVariantRules2 operation from the _2019_06 namespace.;12. Feb;2712
TcSoaStructuremanagement;Variantmanagement;Teamcenter::Services::Structuremanagement::_2013_05::Variantmanagement::getBOMVariantRules;Use the getBOMVariantRules2 operation from the _2019_06 namespace.;12. Feb;2712
TcSoaStructuremanagement;Variantmanagement;Teamcenter::Services::Structuremanagement::_2013_05::Variantmanagement::setBOMVariantRules;Use the setBOMVariantRules2 operation from the _2019_06 namespace.;12. Feb;2712
TcSoaStructuremanagement;Effectivity;Teamcenter::Services::Structuremanagement::_2021_06::Effectivity::getEffectivities;DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.;2512;2912
TcSoaSvcrequest;Servicerequest;Teamcenter::Services::Svcrequest::_2010_04::Servicerequest::delegateRequestedActivity;Use the delegateRequestedActivity2 operation from the _2010_04 namespace.;10;2712
TcSoaSvcrequest;Servicerequest;Teamcenter::Services::Svcrequest::_2010_04::Servicerequest::qualifyActivity;Use the qualifyActivity2 operation from the _2010_04 namespace.;10;2712
TcSoaSystemsengineering;Functionalmodeling;Teamcenter::Services::Systemsengineering::_2011_06::Functionalmodeling::deleteFunctionStructure;There is no replacement.;2506;2712
TcSoaTranslation;Translationmanagement;Teamcenter::Services::Translation::_2007_06::Translationmanagement::createTranslationRequest;Use the createTranslationRequest operation from the DispatcherManagement service in the Core library.;8;2712
TcSoaVendormanagement;Vendormanagement;Teamcenter::Services::Vendormanagement::_2007_06::Vendormanagement::createOrUpdateLineItems;Use the createOrUpdateLineItemsWithType operation.;8;2712
TcSoaVendormanagement;Vendormanagement;Teamcenter::Services::Vendormanagement::_2007_06::Vendormanagement::createOrUpdateVendors;Use the addRemoveVendorRoles operation.;10;2712
TcSoaVendormanagement;Vendormanagement;Teamcenter::Services::Vendormanagement::_2007_06::Vendormanagement::deleteVendorRoles;Use the addRemoveVendorRoles operation.;10;2712
TcSoaVisualization;Structuremanagement;Teamcenter::Services::Visualization::_2013_05::Structuremanagement::createVisSCsFromBOMs;Use the createVisSCsFromBOMsWithOptions operation from the _2013_12 namespace.;10.01.2001;2712
TcSoaWorkflow;Workflow;Teamcenter::Services::Workflow::_2008_06::Workflow::getWorkflowTemplates;Use the getWorkflowTemplates operation from the _2013_05 namespace.;10. Jan;2712
TcSoaWorkflow;Workflow;Teamcenter::Services::Workflow::_2008_06::Workflow::performAction;Use the performAction3 operation from the _2014_06 namespace.;10.01.2003;2712
TcSoaWorkflow;Workflow;Teamcenter::Services::Workflow::_2012_10::Workflow::performAction2;Use the performAction3 operation from the _2014_06 namespace.;10.01.2003;2712
TcSoaWorkflow;Workflow;Teamcenter::Services::Workflow::_2014_06::Workflow::performActionWithSignature;Use the performAction3 operation from the _2014_06 namespace.;10.01.2003;2712
Tm0SoaTestmanagement;Instancemanagement;Tm0::Services::Testmanagement::_2014_06::Instancemanagement::createTestInstances;There is no replacement for this operation.;10.01.2003;2712
Tm0SoaTestmanagement;Instancemanagement;Tm0::Services::Testmanagement::_2014_06::Instancemanagement::createTestInstancesFromTemplate;There is no replacement for this operation.;10.01.2003;2712
Tm0SoaTestmanagement;Instancemanagement;Tm0::Services::Testmanagement::_2014_06::Instancemanagement::editTestInstances;There is no replacement for this operation.;10.01.2003;2712
Uml0SoaUmlsysml;Umlsysml;Uml0::Services::Umlsysml::_2017_11::Umlsysml::getModelElements1;this operation has been deprecated and will not be supported anymore. Use getModelElements2 which is replacement of this operation. ;2312;2712
Uml0SoaUmlsysml;Umlsysml;Uml0::Services::Umlsysml::_2017_11::Umlsysml::updateModelElements2;this operation has been deprecated and will not be supported anymore. Use updateModelElements3 which is replacements of this operation.;2312;2712
Uml0SoaUmlsysml;Umlsysml;Uml0::Services::Umlsysml::_2018_12::Umlsysml::getModelElements2;As of Teamcenter 2406  this operation has been deprecated and will not be supported anymore. Use importCollection which is replacements of this operation.;2406;2712
Uml0SoaUmlsysml;Umlsysml;Uml0::Services::Umlsysml::_2018_12::Umlsysml::updateModelElements3;As of Teamcenter 2406  this operation has been deprecated and will not be supported anymore. Use exportCollection which is replacements of this operation.;2406;2712
