service_library;service;obsoleted_operation;description;deprecated_in;removed_in
TcSoaCalendarmanagement;Calendarmanagement;Teamcenter::Services::Calendarmanagement::_2007_06::Calendarmanagement::createCalendars;Use the createCalendars operation from the _2010_04 namespace.;08. Feb;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2007_01::Schedulemanagement::addMemberships;Use the addMemberships operation from the _2008_06 namespace.;08. Feb;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2007_01::Schedulemanagement::copySchedules;Use the copySchedules operation from the _2007_06 namespace.;07. Jan;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2007_01::Schedulemanagement::createNewBaselines;Use the createNewBaselines from the _2016_04 namespace.;11.02.2001;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2007_01::Schedulemanagement::createSchedule;Use the createSchedule operation from the _2008_06 namespace.;08. Feb;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2007_01::Schedulemanagement::createScheduleDeliverableTemplates;Use the createScheduleDeliverableTemplates operation from the _2008_06 namespace.;08. Feb;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2007_01::Schedulemanagement::createTaskDeliverableTemplates;Use the createTaskDeliverableTemplates operation from the _2007_06 namespace.;08. Feb;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2007_06::Schedulemanagement::copySchedules;Use the copySchedules operation from the _2008_06 namespace.;08. Feb;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2009_10::Schedulemanagement::modifySchedules;There is no replacement for this operation.;08. Jan;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2011_12::Schedulemanagement::createDependencies;Use the createDependencies operation from the _2012_02 namespace.;09. Jan;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2012_02::Schedulemanagement::assignResources;Use the assignResources operation from the _2012_09 namespace.;10;2312
TcSoaProjectmanagement;Schedulemanagement;Teamcenter::Services::Projectmanagement::_2012_02::Schedulemanagement::shiftScheduleNonInteractive;Use the shiftSchedule operation from the _2015_07 namespace.;11. Feb;2312
Uml0SoaUmlsysml;Umlsysml;Uml0::Services::Umlsysml::_2017_11::Umlsysml::getModelElements;This operation has been deprecated and will not be supported anymore. Use getModelElements1 and getModelElements2 which are replacements of this operation.;13. Feb;2512
Uml0SoaUmlsysml;Umlsysml;Uml0::Services::Umlsysml::_2017_11::Umlsysml::updateModelElements;This operation has been deprecated and will not be supported anymore. Use updateModelElements2 and updateModelElements3 which are replacements of this operation.;13. Feb;2512
